Code,Gender,Gender_Coded,Age,User_Language,Belonging1,Belonging2,Belonging3,Belonging4,Belonging5,Belonging6,Belonging7,Belonging8,Belonging9,Belonging10,Belonging11,Belonging12,Belonging13,Belonging14,Belonging15,Belonging16,Belonging17,Belonging18,Belonging19,Belonging20,TotalBelonging,AverageBelonging
UZ101,Female,2,40,English,4,4,4,2,4,4,4,4,5,4,2,4,4,3,4,4,5,3,4,5,77,3.85
UZ1010A,Male,1,32,Chinese,2,4,4,3,4,2,2,2,4,4,2,2,5,4,2,3,3,2,1,4,59,2.95
UZ1010A,Female,2,34,English,4,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,1,3,5,5,88,4.4
UZ1010B,Female,2,27,English,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,96,4.8
UZ1010B,Female,2,31,English,5,4,5,4,5,4,4,3,5,5,3,4,5,4,5,5,5,3,4,5,87,4.35
UZ1010C,Male,1,30,English and Filipino,3,4,5,5,5,4,4,4,4,4,4,4,5,4,5,4,3,4,4,4,83,4.15
UZ1010C,Male,1,31,English,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,2,4,3,4,5,73,3.65
UZ1010D,Male,1,24,English,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,5,5,5,96,4.8
UZ1010D,Female,2,28,Chinese,3,3,5,5,3,1,5,3,3,5,5,3,4,5,4,4,4,2,4,3,74,3.7
UZ1010G,Female,2,31,English,4,5,5,5,5,5,5,4,5,5,4,5,5,4,4,4,3,4,5,5,91,4.55
UZ1010I,Female,2,29,English,5,4,5,5,5,5,4,4,5,5,4,5,5,4,4,5,4,4,4,5,91,4.55
UZ1010J,Male,1,28,English,2,4,3,2,3,3,3,3,3,2,3,3,4,3,3,3,3,3,4,4,61,3.05
UZ1012A,Female,2,38,English,4,5,5,5,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,5,90,4.5
UZ1012AAH,Female,2,46,English,5,5,4,4,5,5,4,5,4,5,3,5,5,5,5,4,2,2,2,4,83,4.15
UZ1012ANB,Female,2,50,English,4,4,5,4,4,5,4,4,5,4,2,4,4,4,5,5,4,4,4,4,83,4.15
UZ1012BAH,Female,2,43,English,5,3,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,3,5,81,4.05
UZ1012C,Female,2,34,English,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,79,3.95
UZ1012D,Female,2,35,English,4,5,4,5,3,4,4,4,4,4,1,1,4,5,5,3,1,1,3,2,67,3.35
UZ1012D,Male,1,43,English,4,4,5,4,4,4,3,3,4,4,2,4,4,5,5,4,1,4,4,4,76,3.8
UZ1012DAH,Female,2,43,English,5,5,5,5,4,5,5,5,5,5,3,4,5,4,5,5,4,4,4,4,91,4.55
UZ1012E,Male,1,27,English,3,4,2,3,2,2,3,4,3,2,1,2,4,3,2,2,2,4,2,5,55,2.75
UZ1012EAH,Female,2,39,English,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,3,4,5,5,93,4.65
UZ1012F,Male,1,32,English,4,4,4,5,5,4,5,4,4,5,4,4,4,5,5,4,3,3,3,4,83,4.15
UZ1012G,Female,2,36,English,4,4,3,3,2,4,4,4,4,4,4,3,3,4,5,4,1,2,3,3,68,3.4
UZ1012GAH,Female,2,38,English,4,4,4,1,2,2,4,5,4,4,3,4,5,5,5,4,5,3,4,5,77,3.85
UZ1012H,Female,2,29,English,4,4,2,2,2,2,4,2,2,3,5,2,4,4,4,3,2,4,2,4,61,3.05
UZ1012HAH,Female,2,43,English,4,4,3,2,2,4,3,4,3,4,4,4,4,4,4,2,2,4,4,4,69,3.45
UZ1012HNB,Female,2,45,English/punjabi,4,4,5,5,4,4,4,4,4,4,3,3,4,5,4,4,3,5,4,4,81,4.05
UZ1012JAH,Female,2,44,English,4,4,3,4,2,4,4,4,4,4,1,4,3,4,4,4,4,4,4,4,73,3.65
UZ1012JNB,Male,1,52,English,4,4,5,4,4,5,4,5,4,4,2,4,4,5,5,5,5,3,4,4,84,4.2
UZ1012l,Female,2,29,English,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,4,3,4,4,4,90,4.5
UZ10190B,Female,2,36,English,1,1,1,2,1,1,1,4,4,4,1,4,1,5,2,1,1,1,1,1,38,1.9
UZ101A,Female,2,52,English,3,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,1,5,3,5,89,4.45
UZ101B,Male,1,47,English,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,99,4.95
UZ101B,Male,1,67,Indian and English,3,3,3,4,3,4,4,4,4,4,3,3,4,4,5,5,3,3,3,5,74,3.7
UZ101C,Female,2,38,English,4,4,4,5,4,4,4,4,5,5,5,5,4,5,5,5,3,5,5,4,89,4.45
UZ101D,Female,2,18,English,3,4,2,4,2,2,4,2,2,3,3,3,4,4,5,3,1,1,1,4,57,2.85
UZ101F,Female,2,54,English,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,4,5,5,94,4.7
UZ101H,Female,2,32,English,4,3,2,2,1,2,2,4,4,4,1,1,4,4,5,2,1,4,1,2,53,2.65
Uz101j,Male,1,43,English,2,3,2,2,3,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,45,2.25
UZ102,Female,2,71,English,4,4,4,4,3,4,3,2,4,3,2,2,4,4,4,3,3,3,4,4,68,3.4
UZ103,Male,1,72,English,3,3,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,54,2.7
UZ1031,Female,2,32,English,5,4,4,2,4,5,5,5,5,3,4,4,5,4,5,5,4,5,3,3,84,4.2
UZ103A,Female,2,39,English,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,94,4.7
UZ103A,Female,2,60,English,3,3,1,1,3,3,2,1,1,1,3,1,3,3,3,3,1,3,3,3,45,2.25
UZ103B,Female,2,26,English,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,96,4.8
UZ103B,Male,1,55,English,5,4,5,4,5,5,5,5,5,4,3,4,4,5,4,4,5,4,4,4,88,4.4
UZ103B,Male,1,71,English,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,76,3.8
UZ103C,Female,2,44,English,4,5,4,4,4,4,4,3,4,4,3,3,4,3,3,5,4,4,4,4,77,3.85
UZ103D,Female,2,31,English,5,5,5,4,5,5,4,5,5,5,3,4,5,5,5,5,2,2,5,5,89,4.45
UZ103E,Female,2,27,English,5,4,3,5,4,4,5,4,5,4,5,4,5,5,5,5,4,1,4,4,85,4.25
UZ103E,Male,1,60,Dutch,2,5,4,5,3,4,4,4,3,5,3,4,4,5,5,4,3,4,4,5,80,4
uz103e,Male,1,76,English,5,5,5,5,3,5,4,4,5,4,3,5,4,5,5,4,2,5,5,4,87,4.35
UZ103F,Female,2,28,English,4,4,4,2,3,4,2,2,3,2,3,2,3,2,3,3,4,3,4,3,60,3
UZ103F,Female,2,54,English,4,4,5,5,5,5,4,4,4,4,3,5,5,5,5,4,3,5,4,5,88,4.4
UZ103F,Female,2,65,English,5,4,4,4,4,4,4,4,5,5,3,4,5,5,5,4,2,4,4,5,84,4.2
UZ103G,Female,2,28,English,5,5,5,4,3,4,5,5,4,4,4,4,4,4,4,4,4,5,4,5,86,4.3
UZ103G,Male,1,57,English,4,4,4,5,4,2,5,4,4,5,5,3,5,5,5,2,1,4,2,5,78,3.9
UZ103H,Female,2,28,English,4,4,3,4,4,3,3,3,4,4,5,4,5,3,4,2,1,4,3,4,71,3.55
UZ103H,Female,2,28,English,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,4,5,5,93,4.65
Uz103h,Female,2,46,English,4,4,5,5,4,5,5,4,4,4,2,4,4,4,5,5,4,5,4,4,85,4.25
UZ103H,Male,1,76,english,4,4,3,4,2,4,3,2,4,2,4,4,4,4,3,3,5,4,4,5,72,3.6
UZ103H,Female,2,78,English,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,96,4.8
UZ103I,Male,1,49,English,2,4,2,2,4,2,4,1,2,2,2,2,2,4,4,1,1,1,2,2,46,2.3
UZ103K,Female,2,22,English,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,96,4.8
UZ103z,Male,1,76,english,4,4,4,3,3,4,2,4,2,2,1,3,4,4,3,3,2,2,2,3,59,2.95
UZ104,Female,2,28,English,3,4,2,3,3,3,3,3,3,3,1,3,3,4,4,3,1,2,3,3,57,2.85
UZ104A,Male,1,29,English,4,5,4,5,4,4,4,4,4,4,5,4,5,5,4,5,3,4,4,5,86,4.3
UZ104C,Female,2,28,English,5,4,2,1,2,3,3,2,5,4,1,2,4,4,5,5,5,4,5,5,71,3.55
UZ104D,Male,1,32,English,5,4,4,4,4,5,4,5,5,5,3,5,5,5,5,4,5,4,5,5,91,4.55
